CIFAR-100 already downloaded.
CIFAR-100 Dataset Loaded!
Train X: (45000, 3, 32, 32), Fine Y: (45000,), Coarse Y: (45000,)
Val   X: (5000, 3, 32, 32), Fine Y: (5000,), Coarse Y: (5000,)
Test  X: (10000, 3, 32, 32), Fine Y: (10000,), Coarse Y: (10000,)
===========================================================================
Layer (type)                       Output Shape                Param #
===========================================================================
 1. Conv1                           (1, 16, 32, 32)                 448
 2. Block[1-1]_Conv1                (1, 16, 32, 32)               2,320
 3. Block[1-1]_Conv2                (1, 16, 32, 32)               2,320
 4. Block[1-2]_Conv1                (1, 16, 32, 32)               2,320
 5. Block[1-2]_Conv2                (1, 16, 32, 32)               2,320
 6. Block[1-3]_Conv1                (1, 16, 32, 32)               2,320
 7. Block[1-3]_Conv2                (1, 16, 32, 32)               2,320
 8. Block[2-1]_Conv1                (1, 32, 16, 16)               4,640
 9. Block[2-1]_Conv2                (1, 32, 16, 16)               9,248
    └─ Shortcut[2-1]                (1, 32, 16, 16)                 544
10. Block[2-2]_Conv1                (1, 32, 16, 16)               9,248
11. Block[2-2]_Conv2                (1, 32, 16, 16)               9,248
12. Block[2-3]_Conv1                (1, 32, 16, 16)               9,248
13. Block[2-3]_Conv2                (1, 32, 16, 16)               9,248
14. Block[3-1]_Conv1                (1, 64, 8, 8)                18,496
15. Block[3-1]_Conv2                (1, 64, 8, 8)                36,928
    └─ Shortcut[3-1]                (1, 64, 8, 8)                 2,112
16. Block[3-2]_Conv1                (1, 64, 8, 8)                36,928
17. Block[3-2]_Conv2                (1, 64, 8, 8)                36,928
18. Block[3-3]_Conv1                (1, 64, 8, 8)                36,928
19. Block[3-3]_Conv2                (1, 64, 8, 8)                36,928
    GlobalAvgPool                   (1, 64)                           0
20. FC                              (1, 100)                      6,500
===========================================================================
Total weight layers:                                        20
Total params:                                               277,540
===========================================================================
Skip: ResNet-20_lr0.01_bs32_sgd

 Training ResNet-20_lr0.01_bs32_adam
[Epoch 1]
  Iter   0/1406: Loss 5.8500
  Iter  10/1406: Loss 5.0474
  Iter  20/1406: Loss 4.9061
  Iter  30/1406: Loss 4.6654
  Iter  40/1406: Loss 4.5889
  Iter  50/1406: Loss 4.5391
  Iter  60/1406: Loss 4.3941
  Iter  70/1406: Loss 4.2164
  Iter  80/1406: Loss 4.5987
  Iter  90/1406: Loss 4.5554
  Iter 100/1406: Loss 4.5249
  Iter 110/1406: Loss 4.3722
  Iter 120/1406: Loss 4.3657
  Iter 130/1406: Loss 4.1587
  Iter 140/1406: Loss 4.1583
  Iter 150/1406: Loss 4.0689
  Iter 160/1406: Loss 4.1093
  Iter 170/1406: Loss 4.1868
  Iter 180/1406: Loss 4.1923
  Iter 190/1406: Loss 4.3900
  Iter 200/1406: Loss 4.2495
  Iter 210/1406: Loss 3.9979
  Iter 220/1406: Loss 4.3061
  Iter 230/1406: Loss 4.2374
  Iter 240/1406: Loss 4.2364
  Iter 250/1406: Loss 4.0822
  Iter 260/1406: Loss 4.2756
  Iter 270/1406: Loss 4.1557
  Iter 280/1406: Loss 3.8783
  Iter 290/1406: Loss 4.3889
  Iter 300/1406: Loss 4.2625
  Iter 310/1406: Loss 4.2138
  Iter 320/1406: Loss 4.0623
  Iter 330/1406: Loss 4.3692
  Iter 340/1406: Loss 4.2355
  Iter 350/1406: Loss 4.1993
  Iter 360/1406: Loss 4.1957
  Iter 370/1406: Loss 3.9869
  Iter 380/1406: Loss 4.3127
  Iter 390/1406: Loss 3.8725
  Iter 400/1406: Loss 4.1325
  Iter 410/1406: Loss 4.0656
  Iter 420/1406: Loss 3.8277
  Iter 430/1406: Loss 4.2289
  Iter 440/1406: Loss 4.2320
  Iter 450/1406: Loss 3.9367
  Iter 460/1406: Loss 4.4755
  Iter 470/1406: Loss 4.0312
  Iter 480/1406: Loss 4.0751
  Iter 490/1406: Loss 4.1311
  Iter 500/1406: Loss 4.1399
  Iter 510/1406: Loss 4.3510
  Iter 520/1406: Loss 4.1556
  Iter 530/1406: Loss 3.7358
  Iter 540/1406: Loss 3.8380
  Iter 550/1406: Loss 3.9314
  Iter 560/1406: Loss 4.1315
  Iter 570/1406: Loss 4.0227
  Iter 580/1406: Loss 4.2299
  Iter 590/1406: Loss 4.3206
  Iter 600/1406: Loss 4.2581
  Iter 610/1406: Loss 3.6058
  Iter 620/1406: Loss 4.1484
  Iter 630/1406: Loss 4.0065
  Iter 640/1406: Loss 4.2367
  Iter 650/1406: Loss 3.9906
  Iter 660/1406: Loss 3.8104
  Iter 670/1406: Loss 4.2290
  Iter 680/1406: Loss 3.8669
  Iter 690/1406: Loss 4.1847
  Iter 700/1406: Loss 3.9739
  Iter 710/1406: Loss 4.3512
  Iter 720/1406: Loss 3.6976
  Iter 730/1406: Loss 3.7265
  Iter 740/1406: Loss 3.7955
  Iter 750/1406: Loss 3.9806
  Iter 760/1406: Loss 3.9153
  Iter 770/1406: Loss 3.3847
  Iter 780/1406: Loss 3.9797
  Iter 790/1406: Loss 3.8048
  Iter 800/1406: Loss 3.7568
  Iter 810/1406: Loss 4.0664
  Iter 820/1406: Loss 3.9574
  Iter 830/1406: Loss 3.8207
  Iter 840/1406: Loss 4.1043
  Iter 850/1406: Loss 3.8995
  Iter 860/1406: Loss 3.7516
  Iter 870/1406: Loss 3.6008
  Iter 880/1406: Loss 3.8150
  Iter 890/1406: Loss 3.8999
  Iter 900/1406: Loss 3.7727
  Iter 910/1406: Loss 4.2517
  Iter 920/1406: Loss 4.1234
  Iter 930/1406: Loss 3.5541
  Iter 940/1406: Loss 3.6990
  Iter 950/1406: Loss 3.5927
  Iter 960/1406: Loss 3.9339
  Iter 970/1406: Loss 3.7894
  Iter 980/1406: Loss 3.7022
  Iter 990/1406: Loss 4.0975
  Iter 1000/1406: Loss 4.1046
  Iter 1010/1406: Loss 3.4215
  Iter 1020/1406: Loss 3.5200
  Iter 1030/1406: Loss 3.6783
  Iter 1040/1406: Loss 3.8235
  Iter 1050/1406: Loss 3.7364
  Iter 1060/1406: Loss 4.3106
  Iter 1070/1406: Loss 3.7189
  Iter 1080/1406: Loss 3.4764
  Iter 1090/1406: Loss 3.7174
  Iter 1100/1406: Loss 3.6876
  Iter 1110/1406: Loss 3.7509
  Iter 1120/1406: Loss 3.6931
  Iter 1130/1406: Loss 3.9218
  Iter 1140/1406: Loss 3.6696
  Iter 1150/1406: Loss 3.8745
  Iter 1160/1406: Loss 3.3884
  Iter 1170/1406: Loss 3.5471
  Iter 1180/1406: Loss 3.4449
  Iter 1190/1406: Loss 3.9000
  Iter 1200/1406: Loss 3.7228
  Iter 1210/1406: Loss 3.7717
  Iter 1220/1406: Loss 3.5290
  Iter 1230/1406: Loss 3.7639
  Iter 1240/1406: Loss 3.7019
  Iter 1250/1406: Loss 3.7999
  Iter 1260/1406: Loss 3.6344
  Iter 1270/1406: Loss 3.4706
  Iter 1280/1406: Loss 3.7253
  Iter 1290/1406: Loss 3.9234
  Iter 1300/1406: Loss 3.4057
  Iter 1310/1406: Loss 3.7261
  Iter 1320/1406: Loss 3.3844
  Iter 1330/1406: Loss 3.4172
  Iter 1340/1406: Loss 3.4103
  Iter 1350/1406: Loss 3.4407
  Iter 1360/1406: Loss 3.8515
  Iter 1370/1406: Loss 3.6067
  Iter 1380/1406: Loss 3.5347
  Iter 1390/1406: Loss 4.1557
  Iter 1400/1406: Loss 3.5633
Train acc: 0.1310, Test acc: 0.1236 (Time: 1942.49s)

[Epoch 2]
  Iter   0/1406: Loss 3.8091
  Iter  10/1406: Loss 3.7086
  Iter  20/1406: Loss 4.0995
  Iter  30/1406: Loss 3.6429
  Iter  40/1406: Loss 3.4066
  Iter  50/1406: Loss 3.7029
  Iter  60/1406: Loss 3.8722
  Iter  70/1406: Loss 3.7677
  Iter  80/1406: Loss 3.6021
  Iter  90/1406: Loss 3.5785
  Iter 100/1406: Loss 3.2807
  Iter 110/1406: Loss 4.0517
  Iter 120/1406: Loss 3.1191
  Iter 130/1406: Loss 4.3812
  Iter 140/1406: Loss 4.0172
  Iter 150/1406: Loss 3.4656
  Iter 160/1406: Loss 3.4455
  Iter 170/1406: Loss 3.3615
  Iter 180/1406: Loss 3.5264
  Iter 190/1406: Loss 3.7253
  Iter 200/1406: Loss 3.7553
  Iter 210/1406: Loss 3.5700
  Iter 220/1406: Loss 3.3923
  Iter 230/1406: Loss 3.2448
  Iter 240/1406: Loss 3.3770
  Iter 250/1406: Loss 3.2660
  Iter 260/1406: Loss 3.5644
  Iter 270/1406: Loss 3.6119
  Iter 280/1406: Loss 3.8511
  Iter 290/1406: Loss 3.6903
  Iter 300/1406: Loss 3.4482
  Iter 310/1406: Loss 3.8305
  Iter 320/1406: Loss 3.2331
  Iter 330/1406: Loss 3.3444
  Iter 340/1406: Loss 3.3731
  Iter 350/1406: Loss 3.2016
  Iter 360/1406: Loss 3.5267
  Iter 370/1406: Loss 3.4475
  Iter 380/1406: Loss 3.1417
  Iter 390/1406: Loss 3.5374
  Iter 400/1406: Loss 3.6183
  Iter 410/1406: Loss 3.5407
  Iter 420/1406: Loss 3.7014
  Iter 430/1406: Loss 3.3920
  Iter 440/1406: Loss 3.5370
  Iter 450/1406: Loss 3.2825
  Iter 460/1406: Loss 3.6194
  Iter 470/1406: Loss 3.0344
  Iter 480/1406: Loss 3.6841
  Iter 490/1406: Loss 3.6707
  Iter 500/1406: Loss 3.1490
  Iter 510/1406: Loss 3.5678
  Iter 520/1406: Loss 3.1450
  Iter 530/1406: Loss 3.6573
  Iter 540/1406: Loss 3.3140
  Iter 550/1406: Loss 3.4981
  Iter 560/1406: Loss 3.5638
  Iter 570/1406: Loss 3.5947
  Iter 580/1406: Loss 3.2998
  Iter 590/1406: Loss 2.6671
  Iter 600/1406: Loss 3.5226
  Iter 610/1406: Loss 3.0097
  Iter 620/1406: Loss 3.9571
  Iter 630/1406: Loss 2.9384
  Iter 640/1406: Loss 3.3511
  Iter 650/1406: Loss 3.7022
  Iter 660/1406: Loss 3.0474
  Iter 670/1406: Loss 3.5992
  Iter 680/1406: Loss 3.0137
  Iter 690/1406: Loss 3.2232
  Iter 700/1406: Loss 3.4808
  Iter 710/1406: Loss 3.0642
  Iter 720/1406: Loss 3.0682
  Iter 730/1406: Loss 3.1813
  Iter 740/1406: Loss 3.8559
  Iter 750/1406: Loss 3.3151
  Iter 760/1406: Loss 2.7620
  Iter 770/1406: Loss 2.8932
  Iter 780/1406: Loss 3.8010
  Iter 790/1406: Loss 3.2520
  Iter 800/1406: Loss 3.6551
  Iter 810/1406: Loss 3.2028
  Iter 820/1406: Loss 3.2738
  Iter 830/1406: Loss 2.7625
  Iter 840/1406: Loss 3.1669
  Iter 850/1406: Loss 3.2404
  Iter 860/1406: Loss 3.6706
  Iter 870/1406: Loss 3.4090
  Iter 880/1406: Loss 3.0173
  Iter 890/1406: Loss 3.5548
  Iter 900/1406: Loss 3.2739
  Iter 910/1406: Loss 3.3133
  Iter 920/1406: Loss 3.1825
  Iter 930/1406: Loss 3.6054
  Iter 940/1406: Loss 3.1197
  Iter 950/1406: Loss 3.3492
  Iter 960/1406: Loss 2.8191
  Iter 970/1406: Loss 3.4360
  Iter 980/1406: Loss 3.6246
  Iter 990/1406: Loss 3.0401
  Iter 1000/1406: Loss 2.8612
  Iter 1010/1406: Loss 3.2638
  Iter 1020/1406: Loss 3.3305
  Iter 1030/1406: Loss 2.9072
  Iter 1040/1406: Loss 3.6911
  Iter 1050/1406: Loss 3.5961
  Iter 1060/1406: Loss 3.3827
  Iter 1070/1406: Loss 3.2996
  Iter 1080/1406: Loss 3.4493
  Iter 1090/1406: Loss 3.1977
  Iter 1100/1406: Loss 2.9194
  Iter 1110/1406: Loss 3.4215
  Iter 1120/1406: Loss 3.0454
  Iter 1130/1406: Loss 3.1508
  Iter 1140/1406: Loss 2.8907
  Iter 1150/1406: Loss 3.0236
  Iter 1160/1406: Loss 3.6816
  Iter 1170/1406: Loss 3.1842
  Iter 1180/1406: Loss 3.4624
  Iter 1190/1406: Loss 3.4834
  Iter 1200/1406: Loss 2.9920
  Iter 1210/1406: Loss 2.9042
  Iter 1220/1406: Loss 2.8301
  Iter 1230/1406: Loss 3.3973
  Iter 1240/1406: Loss 3.1044
  Iter 1250/1406: Loss 3.1299
  Iter 1260/1406: Loss 3.1003
  Iter 1270/1406: Loss 3.2664
  Iter 1280/1406: Loss 3.0700
  Iter 1290/1406: Loss 3.5023
  Iter 1300/1406: Loss 3.6258
  Iter 1310/1406: Loss 3.1249
  Iter 1320/1406: Loss 3.1744
  Iter 1330/1406: Loss 2.8077
  Iter 1340/1406: Loss 4.0538
  Iter 1350/1406: Loss 3.2054
  Iter 1360/1406: Loss 3.0442
  Iter 1370/1406: Loss 3.0685
  Iter 1380/1406: Loss 2.9567
  Iter 1390/1406: Loss 3.0139
  Iter 1400/1406: Loss 2.5528
Train acc: 0.2210, Test acc: 0.2004 (Time: 2122.55s)

[Epoch 3]
  Iter   0/1406: Loss 3.1345
  Iter  10/1406: Loss 3.8490
  Iter  20/1406: Loss 3.4891
  Iter  30/1406: Loss 3.0344
  Iter  40/1406: Loss 3.1612
  Iter  50/1406: Loss 3.6021
  Iter  60/1406: Loss 3.0488
  Iter  70/1406: Loss 2.2624
  Iter  80/1406: Loss 2.7507
  Iter  90/1406: Loss 2.9227
  Iter 100/1406: Loss 2.5228
  Iter 110/1406: Loss 3.0099
  Iter 120/1406: Loss 3.1870
  Iter 130/1406: Loss 3.0004
  Iter 140/1406: Loss 2.8773
  Iter 150/1406: Loss 3.5827
  Iter 160/1406: Loss 3.1144
  Iter 170/1406: Loss 3.0528
  Iter 180/1406: Loss 3.2411
  Iter 190/1406: Loss 3.3554
  Iter 200/1406: Loss 3.1722
  Iter 210/1406: Loss 3.1024
  Iter 220/1406: Loss 2.9268
  Iter 230/1406: Loss 2.7799
  Iter 240/1406: Loss 2.8093
  Iter 250/1406: Loss 3.3719
  Iter 260/1406: Loss 3.0192
  Iter 270/1406: Loss 3.1780
  Iter 280/1406: Loss 3.1007
  Iter 290/1406: Loss 2.5410
  Iter 300/1406: Loss 3.0365
  Iter 310/1406: Loss 3.7130
  Iter 320/1406: Loss 2.9056
  Iter 330/1406: Loss 2.9495
  Iter 340/1406: Loss 3.4063
  Iter 350/1406: Loss 2.9789
  Iter 360/1406: Loss 3.0894
  Iter 370/1406: Loss 2.6809
  Iter 380/1406: Loss 3.0037
  Iter 390/1406: Loss 2.8679
  Iter 400/1406: Loss 3.2469
  Iter 410/1406: Loss 3.1325
  Iter 420/1406: Loss 3.5133
  Iter 430/1406: Loss 3.2656
  Iter 440/1406: Loss 2.9712
  Iter 450/1406: Loss 2.4821
  Iter 460/1406: Loss 2.5491
  Iter 470/1406: Loss 2.9805
  Iter 480/1406: Loss 2.3670
  Iter 490/1406: Loss 3.1661
  Iter 500/1406: Loss 3.2629
  Iter 510/1406: Loss 3.1609
  Iter 520/1406: Loss 3.4081
  Iter 530/1406: Loss 3.2271
  Iter 540/1406: Loss 2.7323
  Iter 550/1406: Loss 2.9399
  Iter 560/1406: Loss 3.2102
  Iter 570/1406: Loss 3.1105
  Iter 580/1406: Loss 3.0278
  Iter 590/1406: Loss 3.1489
  Iter 600/1406: Loss 2.5642
  Iter 610/1406: Loss 3.0670
  Iter 620/1406: Loss 2.5650
  Iter 630/1406: Loss 3.1261
  Iter 640/1406: Loss 2.9009
  Iter 650/1406: Loss 2.9729
  Iter 660/1406: Loss 2.6848
  Iter 670/1406: Loss 3.0375
  Iter 680/1406: Loss 2.8611
  Iter 690/1406: Loss 2.7875
  Iter 700/1406: Loss 2.5395
  Iter 710/1406: Loss 2.7903
  Iter 720/1406: Loss 3.0951
  Iter 730/1406: Loss 3.3853
  Iter 740/1406: Loss 3.0561
  Iter 750/1406: Loss 3.2739
  Iter 760/1406: Loss 3.4941
  Iter 770/1406: Loss 2.8885
  Iter 780/1406: Loss 3.5517
  Iter 790/1406: Loss 2.8428
  Iter 800/1406: Loss 2.5952
  Iter 810/1406: Loss 2.7627
  Iter 820/1406: Loss 3.0728
  Iter 830/1406: Loss 3.0883
  Iter 840/1406: Loss 3.0230
  Iter 850/1406: Loss 3.1321
  Iter 860/1406: Loss 2.8092
  Iter 870/1406: Loss 3.1810
  Iter 880/1406: Loss 2.7075
  Iter 890/1406: Loss 3.1578
  Iter 900/1406: Loss 2.2564
  Iter 910/1406: Loss 3.5889
  Iter 920/1406: Loss 3.1899
  Iter 930/1406: Loss 2.7895
  Iter 940/1406: Loss 2.9887
  Iter 950/1406: Loss 2.7076
  Iter 960/1406: Loss 3.4808
  Iter 970/1406: Loss 3.2036
  Iter 980/1406: Loss 2.6515
  Iter 990/1406: Loss 3.2658
  Iter 1000/1406: Loss 3.2524
  Iter 1010/1406: Loss 3.1454
  Iter 1020/1406: Loss 2.6717
  Iter 1030/1406: Loss 3.1453
  Iter 1040/1406: Loss 2.5650
  Iter 1050/1406: Loss 2.6476
  Iter 1060/1406: Loss 2.6403
  Iter 1070/1406: Loss 2.5121
  Iter 1080/1406: Loss 2.5563
